param1,param2,param3,output1,output2
0.03,0.03,0.055,9636.0,0.0
0.03,0.03,0.055,9818.0,0.0
0.03,0.03,0.055,9984.0,0.0
0.03,0.03,0.055,10138.0,0.0
0.03,0.03,0.055,10347.0,0.0
0.03,0.03,0.055,9738.0,0.0
0.03,0.03,0.055,10440.0,0.0
0.03,0.03,0.055,10634.0,0.0
0.03,0.03,0.055,10064.0,0.0
0.03,0.03,0.055,10350.0,0.0
0.03,0.03,0.055,10655.0,0.0
0.03,0.03,0.055,10158.0,0.0
0.03,0.03,0.06,10202.0,0.0
0.03,0.03,0.06,10356.0,0.0
0.03,0.03,0.06,10330.0,0.0
0.03,0.03,0.06,10375.0,0.0
0.03,0.03,0.06,10022.0,0.0
0.03,0.03,0.06,10907.0,0.0
0.03,0.03,0.06,10764.0,0.0
0.03,0.03,0.06,10177.0,0.0
0.03,0.03,0.06,10382.0,0.0
0.03,0.03,0.06,10448.0,0.0
0.03,0.03,0.06,10390.0,0.0
0.03,0.03,0.06,10447.0,0.0
0.03,0.03,0.06,10361.0,0.0
0.03,0.03,0.06,10770.0,0.0
0.03,0.03,0.06,10657.0,0.0
0.03,0.03,0.06,9932.0,0.0
0.03,0.03,0.06,10044.0,0.0
0.03,0.03,0.06,10578.0,0.0
0.03,0.03,0.06,10506.0,0.0
0.03,0.03,0.06,10211.0,0.0
0.03,0.03,0.06,9976.0,0.0
0.03,0.03,0.06,9956.0,0.0
0.03,0.03,0.06,10366.0,0.0
0.03,0.03,0.06,10477.0,0.0
0.03,0.03,0.06,10523.0,0.0
0.03,0.03,0.06,10037.0,0.0
0.03,0.03,0.06,10214.0,0.0
0.03,0.03,0.06,10088.0,0.0
0.03,0.03,0.06,10664.0,0.0
0.03,0.03,0.06,10850.0,0.0
0.03,0.035,0.03,3501.0,1534.0
0.03,0.035,0.03,1509.0,1671.0
0.03,0.035,0.03,2790.0,1676.0
0.03,0.035,0.03,8973.0,0.0
0.03,0.035,0.03,4557.0,1734.0
0.03,0.035,0.03,1590.0,1694.0
0.03,0.035,0.03,1753.0,1588.0
0.03,0.035,0.03,2098.0,1707.0
0.03,0.035,0.03,2737.0,1567.0
0.03,0.035,0.03,352.0,1567.0
0.03,0.035,0.03,1650.0,1749.0
